number,value,datetime_start,datetime_complete,duration,params_chunk_overlap,params_chunk_size,params_model_name,params_num_retrieved_chunks,params_threshold,state
30,0.18009397020820925,2025-03-11 19:58:24.596654,2025-03-11 19:58:27.411317,0 days 00:00:02.814663,0.6000000000000001,210,sentence-transformers/all-MiniLM-L6-v2,2,0.1435817078338916,COMPLETE
31,0.39707479735883244,2025-03-11 19:58:27.412026,2025-03-11 19:58:30.336654,0 days 00:00:02.924628,0.7,50,sentence-transformers/all-MiniLM-L6-v2,1,0.37080219818627796,COMPLETE
32,0.22461617593585975,2025-03-11 19:58:30.337678,2025-03-11 19:58:33.594207,0 days 00:00:03.256529,0.7,70,sentence-transformers/all-MiniLM-L6-v2,1,0.5056837035242627,COMPLETE
33,0.36978455147202455,2025-03-11 19:58:33.594916,2025-03-11 19:58:36.939197,0 days 00:00:03.344281,0.7,50,sentence-transformers/all-MiniLM-L6-v2,3,0.2010059604585953,COMPLETE
34,0.24979738049247585,2025-03-11 19:58:36.940334,2025-03-11 19:58:39.510896,0 days 00:00:02.570562,0.6000000000000001,80,sentence-transformers/all-MiniLM-L6-v2,2,0.4595328887848764,COMPLETE
35,0.34272838020006,2025-03-11 19:58:39.511519,2025-03-11 19:58:42.194572,0 days 00:00:02.683053,0.2,60,sentence-transformers/all-MiniLM-L6-v2,1,0.2862028749804247,COMPLETE
36,0.18980422322714235,2025-03-11 19:58:42.195347,2025-03-11 19:58:45.182292,0 days 00:00:02.986945,0.7,100,sentence-transformers/all-MiniLM-L6-v2,7,0.38395351973379854,COMPLETE
37,0.27580051417418777,2025-03-11 19:58:45.183004,2025-03-11 19:58:48.544994,0 days 00:00:03.361990,0.6000000000000001,80,sentence-transformers/all-MiniLM-L12-v2,2,0.19254781155787418,COMPLETE
38,0.2727879588207859,2025-03-11 19:58:48.545704,2025-03-11 19:58:51.580841,0 days 00:00:03.035137,0.2,50,sentence-transformers/all-MiniLM-L6-v2,3,0.015106406285330831,COMPLETE
39,0.017985989863870035,2025-03-11 19:58:51.581606,2025-03-11 19:58:54.046917,0 days 00:00:02.465311,0.1,250,sentence-transformers/all-MiniLM-L12-v2,1,0.5441325743129775,COMPLETE
40,0.05307902070225047,2025-03-11 19:58:54.047765,2025-03-11 19:58:56.417143,0 days 00:00:02.369378,0.4,160,sentence-transformers/all-MiniLM-L6-v2,4,0.5943294601475031,COMPLETE
41,0.3807230043852746,2025-03-11 19:58:56.417812,2025-03-11 19:59:01.534736,0 days 00:00:05.116924,0.7,30,sentence-transformers/all-MiniLM-L6-v2,1,0.3535357741967897,COMPLETE
42,0.4325934439560708,2025-03-11 19:59:01.535425,2025-03-11 19:59:05.537228,0 days 00:00:04.001803,0.7,40,sentence-transformers/all-MiniLM-L6-v2,2,0.45256215045049003,COMPLETE
43,0.27046483706143826,2025-03-11 19:59:05.537932,2025-03-11 19:59:08.627853,0 days 00:00:03.089921,0.6000000000000001,70,sentence-transformers/all-MiniLM-L6-v2,2,0.4729209186086067,COMPLETE
44,0.44162934360015005,2025-03-11 19:59:08.629083,2025-03-11 19:59:11.619591,0 days 00:00:02.990508,0.7,40,sentence-transformers/all-MiniLM-L6-v2,2,0.23082682137790142,COMPLETE
45,0.36316136609119565,2025-03-11 19:59:11.620320,2025-03-11 19:59:15.299235,0 days 00:00:03.678915,0.6000000000000001,40,sentence-transformers/all-MiniLM-L12-v2,3,0.23199820970202584,COMPLETE
46,0.3173003864183544,2025-03-11 19:59:15.299934,2025-03-11 19:59:18.440654,0 days 00:00:03.140720,0.7,70,sentence-transformers/all-MiniLM-L6-v2,3,0.10509679127072608,COMPLETE
47,0.07526815181508686,2025-03-11 19:59:18.441701,2025-03-11 19:59:20.927824,0 days 00:00:02.486123,0.0,100,sentence-transformers/all-MiniLM-L6-v2,10,0.1848313019507019,COMPLETE
48,0.09120526714308547,2025-03-11 19:59:20.928833,2025-03-11 19:59:23.615908,0 days 00:00:02.687075,0.5,300,sentence-transformers/all-MiniLM-L12-v2,4,0.43084293542485974,COMPLETE
49,0.214802615136102,2025-03-11 19:59:23.616592,2025-03-11 19:59:26.655440,0 days 00:00:03.038848,0.7,50,sentence-transformers/all-MiniLM-L6-v2,9,0.23808266619115254,COMPLETE
50,0.06832454793754145,2025-03-11 19:59:26.656151,2025-03-11 19:59:29.703755,0 days 00:00:03.047604,0.6000000000000001,40,sentence-transformers/all-MiniLM-L6-v2,2,0.6667489285797803,COMPLETE
51,0.45956845606986596,2025-03-11 19:59:29.704500,2025-03-11 19:59:32.934061,0 days 00:00:03.229561,0.7,40,sentence-transformers/all-MiniLM-L6-v2,1,0.32189042482254837,COMPLETE
52,0.44162934360015005,2025-03-11 19:59:32.934774,2025-03-11 19:59:35.900659,0 days 00:00:02.965885,0.7,40,sentence-transformers/all-MiniLM-L6-v2,2,0.37479803279445034,COMPLETE
53,0.45956845606986596,2025-03-11 19:59:35.901620,2025-03-11 19:59:38.656061,0 days 00:00:02.754441,0.7,40,sentence-transformers/all-MiniLM-L6-v2,1,0.3689414077733815,COMPLETE
54,0.45956845606986596,2025-03-11 19:59:38.656859,2025-03-11 19:59:41.787970,0 days 00:00:03.131111,0.7,40,sentence-transformers/all-MiniLM-L6-v2,1,0.3169353029725498,COMPLETE
55,0.30029900981000646,2025-03-11 19:59:41.788659,2025-03-11 19:59:45.234526,0 days 00:00:03.445867,0.7,90,sentence-transformers/all-MiniLM-L6-v2,1,0.33195927612855286,COMPLETE
56,0.376707666603503,2025-03-11 19:59:45.235459,2025-03-11 19:59:48.285439,0 days 00:00:03.049980,0.7,60,sentence-transformers/all-MiniLM-L6-v2,1,0.30159234267213597,COMPLETE
57,0.4349321357303425,2025-03-11 19:59:48.286134,2025-03-11 19:59:51.349239,0 days 00:00:03.063105,0.6000000000000001,30,sentence-transformers/all-MiniLM-L6-v2,1,0.25091997450107095,COMPLETE
58,0.35538909011059316,2025-03-11 19:59:51.350006,2025-03-11 19:59:54.614227,0 days 00:00:03.264221,0.7,70,sentence-transformers/all-MiniLM-L6-v2,2,0.33462381221982335,COMPLETE
59,0.436162942990681,2025-03-11 19:59:54.615147,2025-03-11 19:59:58.433351,0 days 00:00:03.818204,0.7,40,sentence-transformers/all-MiniLM-L12-v2,1,0.389744778044324,COMPLETE
60,0.2838952904615156,2025-03-11 19:59:58.434046,2025-03-11 20:00:01.712037,0 days 00:00:03.277991,0.6000000000000001,30,sentence-transformers/all-MiniLM-L6-v2,7,0.2763766590582304,COMPLETE
61,0.436162942990681,2025-03-11 20:00:01.713098,2025-03-11 20:00:05.769954,0 days 00:00:04.056856,0.7,40,sentence-transformers/all-MiniLM-L12-v2,1,0.40131316804868444,COMPLETE
62,0.4221852888972006,2025-03-11 20:00:05.770720,2025-03-11 20:00:09.683713,0 days 00:00:03.912993,0.7,60,sentence-transformers/all-MiniLM-L12-v2,1,0.3721173476314322,COMPLETE
63,0.4243066990693765,2025-03-11 20:00:09.684410,2025-03-11 20:00:13.415674,0 days 00:00:03.731264,0.7,40,sentence-transformers/all-MiniLM-L12-v2,2,0.500360629893427,COMPLETE
64,0.3497594306153685,2025-03-11 20:00:13.416723,2025-03-11 20:00:16.461891,0 days 00:00:03.045168,0.7,80,sentence-transformers/all-MiniLM-L12-v2,1,0.3134679887494987,COMPLETE
65,0.36950776932143203,2025-03-11 20:00:16.462851,2025-03-11 20:00:20.160739,0 days 00:00:03.697888,0.6000000000000001,60,sentence-transformers/all-MiniLM-L12-v2,2,0.43277891071604435,COMPLETE
66,0.3807230043852746,2025-03-11 20:00:20.161642,2025-03-11 20:00:23.436152,0 days 00:00:03.274510,0.7,30,sentence-transformers/all-MiniLM-L6-v2,1,0.3435425112611014,COMPLETE
67,0.4389508087660551,2025-03-11 20:00:23.436878,2025-03-11 20:00:26.136776,0 days 00:00:02.699898,0.6000000000000001,40,sentence-transformers/all-MiniLM-L6-v2,2,0.22802844665276134,COMPLETE
68,0.3129512864226206,2025-03-11 20:00:26.137424,2025-03-11 20:00:29.322471,0 days 00:00:03.185047,0.6000000000000001,60,sentence-transformers/all-MiniLM-L6-v2,3,0.17232251445954003,COMPLETE
69,0.3677146809993571,2025-03-11 20:00:29.323137,2025-03-11 20:00:32.271730,0 days 00:00:02.948593,0.30000000000000004,40,sentence-transformers/all-MiniLM-L6-v2,2,0.2219601139622772,COMPLETE
70,0.10606406286314896,2025-03-11 20:00:32.272412,2025-03-11 20:00:34.663097,0 days 00:00:02.390685,0.5,270,sentence-transformers/all-MiniLM-L6-v2,3,0.27404687763594404,COMPLETE
71,0.45956845606986596,2025-03-11 20:00:34.664139,2025-03-11 20:00:37.687887,0 days 00:00:03.023748,0.7,40,sentence-transformers/all-MiniLM-L6-v2,1,0.3937906826490789,COMPLETE
72,0.41023093934333854,2025-03-11 20:00:37.688552,2025-03-11 20:00:40.572494,0 days 00:00:02.883942,0.7,50,sentence-transformers/all-MiniLM-L6-v2,2,0.30166950116354985,COMPLETE
73,0.3807230043852746,2025-03-11 20:00:40.573214,2025-03-11 20:00:43.775977,0 days 00:00:03.202763,0.7,30,sentence-transformers/all-MiniLM-L6-v2,1,0.2612115830837928,COMPLETE
74,0.39707479735883244,2025-03-11 20:00:43.776872,2025-03-11 20:00:46.270529,0 days 00:00:02.493657,0.7,50,sentence-transformers/all-MiniLM-L6-v2,1,0.22078594819127886,COMPLETE
75,0.299472777793211,2025-03-11 20:00:46.271143,2025-03-11 20:00:49.342821,0 days 00:00:03.071678,0.6000000000000001,80,sentence-transformers/all-MiniLM-L6-v2,2,0.3578790692491131,COMPLETE
76,0.39059867403037857,2025-03-11 20:00:49.343583,2025-03-11 20:00:52.249122,0 days 00:00:02.905539,0.6000000000000001,60,sentence-transformers/all-MiniLM-L6-v2,1,0.3262897105599195,COMPLETE
77,0.0,2025-03-11 20:00:52.250218,2025-03-11 20:00:55.110608,0 days 00:00:02.860390,0.7,70,sentence-transformers/all-MiniLM-L6-v2,2,0.8505007687414703,COMPLETE
78,0.45956845606986596,2025-03-11 20:00:55.111598,2025-03-11 20:00:58.199845,0 days 00:00:03.088247,0.7,40,sentence-transformers/all-MiniLM-L6-v2,1,0.2886705780602694,COMPLETE
79,0.3807230043852746,2025-03-11 20:00:58.200962,2025-03-11 20:01:01.344975,0 days 00:00:03.144013,0.7,30,sentence-transformers/all-MiniLM-L6-v2,1,0.2813179025226767,COMPLETE
80,0.24553709765144366,2025-03-11 20:01:01.346335,2025-03-11 20:01:04.256209,0 days 00:00:02.909874,0.7,180,sentence-transformers/all-MiniLM-L6-v2,1,0.405960516938677,COMPLETE
81,0.45956845606986596,2025-03-11 20:01:04.256889,2025-03-11 20:01:07.003187,0 days 00:00:02.746298,0.7,40,sentence-transformers/all-MiniLM-L6-v2,1,0.3748265683432327,COMPLETE
82,0.39707479735883244,2025-03-11 20:01:07.003885,2025-03-11 20:01:10.345389,0 days 00:00:03.341504,0.7,50,sentence-transformers/all-MiniLM-L6-v2,1,0.37804231098463376,COMPLETE
83,0.45956845606986596,2025-03-11 20:01:10.346198,2025-03-11 20:01:13.487212,0 days 00:00:03.141014,0.7,40,sentence-transformers/all-MiniLM-L6-v2,1,0.35578285518120806,COMPLETE
84,0.22480856743356176,2025-03-11 20:01:13.487851,2025-03-11 20:01:16.703426,0 days 00:00:03.215575,0.7,210,sentence-transformers/all-MiniLM-L6-v2,1,0.297731658492021,COMPLETE
85,0.3807230043852746,2025-03-11 20:01:16.704187,2025-03-11 20:01:20.593288,0 days 00:00:03.889101,0.7,30,sentence-transformers/all-MiniLM-L6-v2,1,0.4202505134047907,COMPLETE
